conversation,cluster_final,cluster_name,timestamp,failure_mode,in_scope
what does workato do?,2,Corporate Mixed Queries,2025-10-17T21:32:28.483735,No-Hit (Out-of-Scope),Partial
dfw12 generator capacity,0,German Language - Mixed Content,2025-10-17T17:21:25.393294,Language Barrier + Mixed Scope,Partial
dfw12 capacity,0,German Language - Mixed Content,2025-10-17T17:20:19.293870,Language Barrier + Mixed Scope,Partial
what does the STAT function do,2,Corporate Mixed Queries,2025-10-17T17:17:26.653912,No-Hit (Out-of-Scope),Partial
stat function,2,Corporate Mixed Queries,2025-10-17T17:16:40.225025,No-Hit (Out-of-Scope),Partial
electrical breakers tamper seals,2,Corporate Mixed Queries,2025-10-17T14:45:19.523323,No-Hit (Out-of-Scope),Partial
I need a file analysed please,3,Miscellaneous/Testing,2025-10-17T12:48:52.467553,No-Hit (Out-of-Scope),No
export into powerpoint,3,Miscellaneous/Testing,2025-10-17T11:53:04.580576,No-Hit (Out-of-Scope),No
INC0990671 can you provide the executive summary,3,Miscellaneous/Testing,2025-10-17T11:43:33.865064,No-Hit (Out-of-Scope),No
can you provide a slide deck for the city campus overview,3,Miscellaneous/Testing,2025-10-17T11:36:15.309966,No-Hit (Out-of-Scope),No
do we have 50kw availability in lon2,0,German Language - Mixed Content,2025-10-17T11:33:50.783146,Language Barrier + Mixed Scope,Partial
for esg please,2,Corporate Mixed Queries,2025-10-17T08:57:34.945148,No-Hit (Out-of-Scope),Partial
can you make this readable for a customer response,3,Miscellaneous/Testing,2025-10-17T08:57:07.070995,No-Hit (Out-of-Scope),No
what are the pressure guage setpoints that we need to know for pre-action cabinets,0,German Language - Mixed Content,2025-10-17T08:36:45.109626,Language Barrier + Mixed Scope,Partial
"what about pathways, pack, and digital internet",4,Site Discovery & Location Queries,2025-10-17T00:06:41.054475,,Yes
what are the various connectivity options and how are they different,4,Site Discovery & Location Queries,2025-10-16T23:58:31.578730,,Yes
what is the typical re-authorization window for wi-fi,4,Site Discovery & Location Queries,2025-10-16T21:19:44.698817,,Yes
what is the re-authorization window for wi-fi,4,Site Discovery & Location Queries,2025-10-16T21:15:58.515994,,Yes
can I have API to  this AI tool?,3,Miscellaneous/Testing,2025-10-16T21:06:42.043394,No-Hit (Out-of-Scope),No
format as executive summary,3,Miscellaneous/Testing,2025-10-16T21:01:39.276864,No-Hit (Out-of-Scope),No
can I access api,3,Miscellaneous/Testing,2025-10-16T21:01:26.677128,No-Hit (Out-of-Scope),No
Can you reduce this down to 2-3 sentences?,3,Miscellaneous/Testing,2025-10-16T20:30:14.016474,No-Hit (Out-of-Scope),No
discuss heat rejection capacities and facility water temperature ranges (in-practice and theoretical capability) at our 2200busee rd elk grove village,0,German Language - Mixed Content,2025-10-16T20:29:51.905810,Language Barrier + Mixed Scope,Partial
"Can you check the attached price book and see what the list rates for 128 first ave, 100 delawanna, and 2323 Bryan st are in the 20kW band?",0,German Language - Mixed Content,2025-10-16T19:27:21.558145,Language Barrier + Mixed Scope,Partial
what is a cross connect,4,Site Discovery & Location Queries,2025-10-16T19:06:36.626422,,Yes
Where is the source for this data?,2,Corporate Mixed Queries,2025-10-16T19:00:58.195134,No-Hit (Out-of-Scope),Partial
Where is this data coming from?,2,Corporate Mixed Queries,2025-10-16T18:59:30.222731,No-Hit (Out-of-Scope),Partial
could you do an image for me?,3,Miscellaneous/Testing,2025-10-16T13:00:13.441493,No-Hit (Out-of-Scope),No
"rephrase each page fully with your proposal, ignoring the pictures",3,Miscellaneous/Testing,2025-10-16T12:52:45.822003,No-Hit (Out-of-Scope),No
use the attached file,3,Miscellaneous/Testing,2025-10-16T12:51:39.616459,No-Hit (Out-of-Scope),No
Does a permanent badge expire if a customer does not use the badge within 30 days?,2,Corporate Mixed Queries,2025-10-16T12:13:03.452383,No-Hit (Out-of-Scope),Partial
what is service fabric,1,Connectivity & Cross-Connects,2025-10-16T10:51:51.687041,,Yes
how do we add digital nexus to our connection page,4,Site Discovery & Location Queries,2025-10-16T10:49:40.383538,,Yes
How can I have integrate Digital Nexus to enhance an intranet page?,4,Site Discovery & Location Queries,2025-10-16T10:34:17.135340,,Yes
How can I enhance my sharepoint page,3,Miscellaneous/Testing,2025-10-16T10:32:50.439325,No-Hit (Out-of-Scope),No
"can you not create it, only show what i need to do?",3,Miscellaneous/Testing,2025-10-16T09:40:45.368486,No-Hit (Out-of-Scope),No
create a power point presentation with the dlr layout and six blank pilars in dlr colours,3,Miscellaneous/Testing,2025-10-16T09:39:43.211550,No-Hit (Out-of-Scope),No
can you create a kind of org chart with pilars that show the functional teams within dlr emea and the company matrix?,3,Miscellaneous/Testing,2025-10-16T08:44:19.523781,No-Hit (Out-of-Scope),No
what does cpq mean,2,Corporate Mixed Queries,2025-10-16T03:02:22.376599,No-Hit (Out-of-Scope),Partial
"hi joanne,hope you're having a great week. picking up from where stephanie left off. here is our initial proposal based on the original request:location: 1100 space park, suite 300300kw cagetotal 60 cabinets55 x 4-post bud rack (84”h x 30”w x36”d)5x2-post chatsworth rack (84""hx23""w)mrc: $215/kw + efixed pue: 1.65escalators: 3%billing ramp: month 1:  100kwmonth 3:  +100kw (200kw total)month 5:  +100kw  (300kw total)nrcs: tbd based on sow. dlr is willing to offer a $50k concession off the total nrcs.since the update request is now 200kw, please confirm if the cabinet count or design needs adjustment? we will remove month 5 from the ramp, since it's no longer needed.i understand that tata will be exiting the facility by the end of the year. if you team is still considering staying in the building, we're happy to fast track this request, if this is a viable option.please let me know how we can best support your upcoming migration. best,louis",0,German Language - Mixed Content,2025-10-16T01:25:19.172344,Language Barrier + Mixed Scope,Partial
"can you help me rewrite this in a concise and profession manner? hi joanne,hope you're having a great week. picking up from where stephanie left off. here was our initial proposal based on the original request:location: 1100 space park, suite 300300kw cagetotal 60 cabinets55 x 4-post bud rack (84”h x 30”w x36”d)5x2-post chatsworth rack (84""hx23""w)mrc: $215/kw + efixed pue: 1.65escalators: 3%billing ramp: month 1:  100kwmonth 3:  +100kw (200kw total)month 5:  +100kw  (300kw total)nrcs: tbd based on sow. dlr is willing to offer a $50k concession off the total nrcs.since the update request is now 200kw, is there an adjustment on the cabinet total as well? do you mind confirming the updated design? as for the ramp structure, we'll remove month 5 from the ramp.i understand that tata will be exiting the facility by the end of the year. not sure if your team has decided to remain in the building or relocate elsewhere in the bay area. happy to fast track this request, if this a viable option.please let me know how we can best support your upcoming migration. best,louis",0,German Language - Mixed Content,2025-10-16T01:22:18.937266,Language Barrier + Mixed Scope,Partial
write an email about the importance of attending daily synch meetings,3,Miscellaneous/Testing,2025-10-15T19:53:39.379717,No-Hit (Out-of-Scope),No
Are you able to analyze PowerPoint slides and images?,3,Miscellaneous/Testing,2025-10-15T17:28:25.804364,No-Hit (Out-of-Scope),No
what about all the u.s space?,2,Corporate Mixed Queries,2025-10-15T16:43:21.642212,No-Hit (Out-of-Scope),Partial
can nexus compare 2 excel files to locate differences?,3,Miscellaneous/Testing,2025-10-15T16:36:46.789434,No-Hit (Out-of-Scope),No
how much power space etc can we support?,0,German Language - Mixed Content,2025-10-15T16:36:26.026593,Language Barrier + Mixed Scope,Partial
what can you do?,2,Corporate Mixed Queries,2025-10-15T16:35:43.319604,No-Hit (Out-of-Scope),Partial
I would need one more advice. I have an Array Variable in a Power Automate flow. I would like to use action 'Append to array variable' - can you please provide a sample expression how to request this?,3,Miscellaneous/Testing,2025-10-15T15:06:42.074025,No-Hit (Out-of-Scope),No
"Thank you, this was amazing!",2,Corporate Mixed Queries,2025-10-15T15:04:19.960896,No-Hit (Out-of-Scope),Partial
what single tenant facilities do we have?,0,German Language - Mixed Content,2025-10-15T14:23:54.836515,Language Barrier + Mixed Scope,Partial
"The script that I run is supposed to add rows to a Table within an Excel file.
""function main(
    workbook: ExcelScript.Workbook,
    Source_Table_data: string = """",
    Target_Table: string = """")
{
    const data: { [key: string]: string | number | boolean }[] = JSON.parse(Source_Table_data);

    const table = workbook.getTable(Target_Table)
    
    table.addRows(-1,data);
}""
However, it returns the following error:
""Bad Request
Office JS error: Line 10: Table addRows: The argument is invalid or missing or has an incorrect format.
clientRequestId: e239ff9c-5532-4765-8033-201a38e8f239",3,Miscellaneous/Testing,2025-10-15T10:51:31.224322,No-Hit (Out-of-Scope),No
"re write This has juts come through to me,  I have concerns as there is no Barry, Gerardo, Andy or your added to the email notifications  I have raised this and will feedback to what is going on.",3,Miscellaneous/Testing,2025-10-15T10:41:51.550610,No-Hit (Out-of-Scope),No
"correct grammar - good morning alex, we need to touch base on this issue.this table i received from audrey and nicole.we need to comment on each of the participant who was absent.can we touch base today? or can you please summarise situation based on each participant?yesterday we spoke only about  john pope (uk) and lasse themmen pederson (denmark), these two are not attending on the regular basis.and we agreed that you escalate to dcms and also inform soren, do you have any response?good morning alex,",3,Miscellaneous/Testing,2025-10-15T10:28:28.753442,No-Hit (Out-of-Scope),No
I need some help with running an Office Script on Power Automate,3,Miscellaneous/Testing,2025-10-15T10:13:37.020803,No-Hit (Out-of-Scope),No
"I do not want any indirect connectivity, only telco that is in the campus",4,Site Discovery & Location Queries,2025-10-15T09:39:21.623349,,Yes
「バックアップ電源の利用状況や停電時の対応について、貸出人と借受人が調整を行うこと」の記述について、契約書のどこに記載されているか教えてください。,3,Miscellaneous/Testing,2025-10-15T07:51:32.414758,No-Hit (Out-of-Scope),No
調整義務について言及されている部分の文章を表示してください,3,Miscellaneous/Testing,2025-10-15T07:46:58.243798,No-Hit (Out-of-Scope),No
作業禁止期間についての記述はありますか,3,Miscellaneous/Testing,2025-10-15T07:41:48.188957,No-Hit (Out-of-Scope),No
借主へバックアップ発電機を提供していますが、提供を一時的に停止した場合について書かれていますか？,3,Miscellaneous/Testing,2025-10-15T07:33:25.320603,No-Hit (Out-of-Scope),No
添付資料を読み込んでください,3,Miscellaneous/Testing,2025-10-15T07:32:17.943687,No-Hit (Out-of-Scope),No
バックアップ電源の記載のある項目を列挙してください。,3,Miscellaneous/Testing,2025-10-15T07:27:48.871905,No-Hit (Out-of-Scope),No
添付資料に関して質問です。,3,Miscellaneous/Testing,2025-10-15T07:27:05.209539,No-Hit (Out-of-Scope),No
この契約書について、貸出人側が特に不利になるような内容はありますか,3,Miscellaneous/Testing,2025-10-15T07:26:19.627756,No-Hit (Out-of-Scope),No
次に読み込ませる契約書に関して質問します。,3,Miscellaneous/Testing,2025-10-15T07:19:00.283305,No-Hit (Out-of-Scope),No
3.5.2バックアップ電力の消費の取り扱いについて要約してください。,0,German Language - Mixed Content,2025-10-15T07:12:11.397915,Language Barrier + Mixed Scope,Partial
予備発電機か、それに似たワードがあるセクションを列挙してください。,3,Miscellaneous/Testing,2025-10-15T07:10:13.433304,No-Hit (Out-of-Scope),No
契約書から、予備発電機のワードがあるセクションを列挙してください。,3,Miscellaneous/Testing,2025-10-15T07:08:13.127896,No-Hit (Out-of-Scope),No
04.09.21のテキストデータから質問します。,3,Miscellaneous/Testing,2025-10-15T07:06:46.549946,No-Hit (Out-of-Scope),No
what is the use of a dedicated network link,4,Site Discovery & Location Queries,2025-10-15T07:05:05.658322,,Yes
what usually is the “a end” and the “z end” give me a realistic scenario,2,Corporate Mixed Queries,2025-10-15T07:03:49.978086,No-Hit (Out-of-Scope),Partial
この契約書について質問します。,3,Miscellaneous/Testing,2025-10-15T07:02:32.253331,No-Hit (Out-of-Scope),No
これから読み込ませる契約書はデジタル大阪３特定目的会社と、ソフトバンクが交わした契約書になります。全文を読み込ませた後に質問を行います。,3,Miscellaneous/Testing,2025-10-15T07:01:20.952273,No-Hit (Out-of-Scope),No
17.17 賃貸人により留保される権利 賃貸人は、賃借人による、賃借人スペースの立退又は賃借人スペースの使用若しくは占有に関する妨害とみなされることなく、又は本賃料の相殺若しくは減額の請求権を生じることなく、通知を要せず（但し、別途本賃貸借契約中にこれに反する明示的な規定がある場合を除く。）行使可能な下記の権利を留保する。(i) 本建物及び／又は本物件の名称又は住所を変更する権利、(ii) 本建物及び／又は本物件の外部及び／又は内部においてあらゆる看板を設置、固定及び維持する権利、(iii) 第17.16条の条件に従うことを前提として、抵当権者、抵当権者の候補者、購入候補者及びレンダー並びにレンダー候補者又は賃借人候補者及びライセンシーに対し、合理的な時間に、賃借人スペース、本建物及び／又は本物件を内覧させる権利、(iv) 本建物及び／又は本物件内の玄関、ドア、廊下、エレベータ及び／若しくは階段の配置を変更する権利並びに／又は本建物に対し賃貸人が望ましいとみなす変更を行う権利、(v) cctv 又はその他によって、本建物及び／又は本物件を出入りする全ての者を監視するシステムを設置、運用及びメンテナンスする権利、(vi) 本建物及び／又は本物件の他の部分又は他の賃借人若しくは占有者に提供される、開始日において賃借人スペース内に所在する配管、ダクト、管路、電線及び構造物のメンテナンス及び交換を行う権利、(vii) 賃借人スペースの-37- マスター・キー又は合鍵を常に保持する権利、(viii) 賃借人の事前の同意を得ずに、賃借人スペースの外側において賃貸人が必要とみなす構造的及び／若しくは機械的システム、内壁及び外壁並びに／又はガラスへの追加的な改良工事を行う排他的な権利、並びに (ix) 本建物及び本物件内のスペースを賃貸する絶対的な権利並びに賃貸人がその独自の経営判断により本物件に対する最大の利益となると判断する本建物及び本物件内のその他の賃借権を設定する絶対的な権利（賃貸人は、本賃貸借契約の本賃貸借期間中に本建物及び本物件内のスペースを賃借する特定の種類又は人数の賃借人又はライセンシーを代表せず、また賃借人は、かかる賃借に依拠しないものとする。） 要約して,2,Corporate Mixed Queries,2025-10-15T06:51:48.217088,No-Hit (Out-of-Scope),Partial
"1 mw + 1,000 sq/ft in chicago?",0,German Language - Mixed Content,2025-10-15T04:58:00.032156,Language Barrier + Mixed Scope,Partial
what model is nexus built on?,2,Corporate Mixed Queries,2025-10-15T04:32:52.978983,No-Hit (Out-of-Scope),Partial
using this information provide some insights and trends for this year new hire onboarding completion and then a comparison year over year new hire tracking - current.xlsb,3,Miscellaneous/Testing,2025-10-14T19:55:10.394305,No-Hit (Out-of-Scope),No
where did you get this information,2,Corporate Mixed Queries,2025-10-14T19:51:41.255014,No-Hit (Out-of-Scope),Partial
give me a update on the progress of this months digital one presentation,3,Miscellaneous/Testing,2025-10-14T19:51:05.836198,No-Hit (Out-of-Scope),No
"improve this writing and in the voice of dlr ceo andy power for the 3q25 earnings call:  in q3, we again delivered strong operational and financial performance, underscored by record interconnection bookings and continued momentum in our 0 to 1mw plus interconnection product set.  core ffo per share was a record at $x.xx, a robust xx% higher than last year’s third quarter.  these strong earnings were driven by xx% rental revenue growth and a continued expansion of our high-margin fee income together with disciplined expense management pushing us to raise our guidance for the third time this year.  as always, matt will have more details for you shortly. bookings in the third quarter were [$xxx] million at 100% share, or [$xxx] million at our share.  like last quarter, our 0 to 1 megawatt plus interconnection category was the star of the show with $xx million in new leases, along with a healthy [$xx] million of greater-than-a-megawatt leasing. leasing was globally diversified, broadly consistent with our existing rent roll.  interconnection leasing, at $xx million, was a new record",4,Site Discovery & Location Queries,2025-10-14T19:34:34.456004,,Yes
"looking for 3mw's ramping to 5mw's for commencement 18 months from now (will commit today). solution needs to support liquid cooling with loads between 100kw - 150kw per rack, with 415 v power distribution. we're starting our search in new york tri-state what pricing options are available",0,German Language - Mixed Content,2025-10-14T17:55:58.861488,Language Barrier + Mixed Scope,Partial
Do we support a 1Gb handoff with SF?,4,Site Discovery & Location Queries,2025-10-14T15:37:13.825384,,Yes
give the step by step,3,Miscellaneous/Testing,2025-10-14T14:31:20.778230,No-Hit (Out-of-Scope),No
"I want to create a tracker for my emails on share point, give the better steps",3,Miscellaneous/Testing,2025-10-14T14:16:04.618561,No-Hit (Out-of-Scope),No
and in emea?,2,Corporate Mixed Queries,2025-10-14T11:51:12.182913,No-Hit (Out-of-Scope),Partial
can you transcribe meetings?,3,Miscellaneous/Testing,2025-10-14T10:37:16.666589,No-Hit (Out-of-Scope),No
このaiではデジタルのテナントとの契約書を読み込ませて質問する事はできますか？,3,Miscellaneous/Testing,2025-10-14T09:01:41.470896,No-Hit (Out-of-Scope),No
kix12についての情報を列挙してください,3,Miscellaneous/Testing,2025-10-14T08:50:24.433396,No-Hit (Out-of-Scope),No
I'd like you to translate an excel document to English,3,Miscellaneous/Testing,2025-10-14T07:28:15.299468,No-Hit (Out-of-Scope),No
"S.No	Device Details	No of Devices	Power Supply	Rack Space
1	HPE DX 380	3	6	6 U
2	HPE DL 360	3	6	3U
3	HP Enclosure C7000	1	6	10U
4	HP Primera Storage	1	2	2U
5	HPE MSL 3040	1	1	3U
6	HPE DL 360	1	2	1U
7	HPE StoreOnce 3540	1	2	2U
8	HPE Apollo 2000	1	2	2U
9	HPE Itanium RX2800	1	2	2U
10	HPE SN 3600B San Switches	2	2	2 U
11	Aruba 2930 F	2	4	2U
12	FortiGate 400 F	2	4	2U
13	Arista DCS-7050SX3-48YC8	2	4	2U
14	Aruba 2930 F	2	4	2U
15	Cisco FTD 2110	2	4	2U",0,German Language - Mixed Content,2025-10-14T07:08:29.856289,Language Barrier + Mixed Scope,Partial
"Scope of work is mentioned below.
1.	Migration activity of 21 devices as mentioned in the inventory list from Coimbatore to MAA10 facility. 
2.	2 Nos of basic rack proposed instead of smart racks (which was an option). 
3.	Basic Rack PDUs (C13 x 36 Nos, C19 x 6 Nos)
4.	Shared Cold Aisle Containment
5.	Shared network trays
6.	Shared seating space with workstation, chairs, 2 drawer cabinets, power strip on workstation.
7.	1 copper cross connect (CAT6A cable)
8.	1 Fiber cross connect (LC-LC fiber chord)
9.	Project management for the above activities. 

Scope of Physical migration includes the following:
1.	Physical lift and shift from Coimbatore to MAA10 facility in single phase.
2.	Port mapping
3.	Labeling of devices 
4.	Unplugging the cables
5.	Unmounting the equipment. 
6.	Packaging in shock proof material.
7.	Moving the equipment from Coimbatore to MAA10. 
8.	Unpacking, placing and mounting the equipment at desired allotted space for ELGI. 
9.	Plugging in of cables. 

The scope does not include the following: 
1.	Any type of tuning and configuration of application
2.	Any type of infrastructure readiness at source.
3.	Backup of any critical or non-critical Data to ELGI.
4.	Power Calculation for each rack 
5.	Any other activity which is not mentioned in the scope of work is out of scope",4,Site Discovery & Location Queries,2025-10-14T06:53:39.467541,,Yes
Share migration plan for below,3,Miscellaneous/Testing,2025-10-14T06:53:12.215753,No-Hit (Out-of-Scope),No
what is the total capacity we have in APAC,0,German Language - Mixed Content,2025-10-14T04:57:07.675411,Language Barrier + Mixed Scope,Partial
what does indemnify meanb,2,Corporate Mixed Queries,2025-10-13T17:56:48.714596,No-Hit (Out-of-Scope),Partial
provide me with new commencements by quarter for the past 3 years.  break these out by product.,3,Miscellaneous/Testing,2025-10-13T15:43:20.222411,No-Hit (Out-of-Scope),No
what is servicefabric,1,Connectivity & Cross-Connects,2025-10-13T14:35:48.965367,,Yes
"I'm writing a video script, give me a short introduction of what is PDx framework and use cases",3,Miscellaneous/Testing,2025-10-13T14:19:10.376769,No-Hit (Out-of-Scope),No
hvad er precurement på dansk,2,Corporate Mixed Queries,2025-10-13T13:29:24.378989,No-Hit (Out-of-Scope),Partial
"the it capacity at ams5 is stated incorrect, how can i get this adjusted ?",0,German Language - Mixed Content,2025-10-13T12:55:19.684186,Language Barrier + Mixed Scope,Partial
what type of ups systems do we have at ams9?,0,German Language - Mixed Content,2025-10-13T12:54:25.124301,Language Barrier + Mixed Scope,Partial
what is the total it capacity of ams11?,0,German Language - Mixed Content,2025-10-13T12:52:22.435923,Language Barrier + Mixed Scope,Partial
what is the total it capacity of ams5?,0,German Language - Mixed Content,2025-10-13T12:51:37.497342,Language Barrier + Mixed Scope,Partial
Assist me in drafting an inquiry to HR,3,Miscellaneous/Testing,2025-10-13T09:54:20.974664,No-Hit (Out-of-Scope),No
The full notice 658 is attached. Please provide a summary of it,3,Miscellaneous/Testing,2025-10-13T07:00:24.992216,No-Hit (Out-of-Scope),No
I would like to find our internal manual on leave/holidays,3,Miscellaneous/Testing,2025-10-13T06:40:50.677198,No-Hit (Out-of-Scope),No
what are the makes,2,Corporate Mixed Queries,2025-10-12T17:56:45.041063,No-Hit (Out-of-Scope),Partial
how many generators are there?,0,German Language - Mixed Content,2025-10-12T17:55:39.716066,Language Barrier + Mixed Scope,Partial
are you able to draw an isolation and earthing diagram?,3,Miscellaneous/Testing,2025-10-12T13:35:11.202031,No-Hit (Out-of-Scope),No
Can you tell me what I have to do in the ticket with the CS3313088 ?,3,Miscellaneous/Testing,2025-10-11T05:18:27.041524,No-Hit (Out-of-Scope),No
kan du vise mig et flow chart over proces fra design til implementation?,3,Miscellaneous/Testing,2025-10-11T03:24:55.191034,No-Hit (Out-of-Scope),No
When was the most recent Energy Star certification received?,2,Corporate Mixed Queries,2025-10-10T17:33:10.267164,No-Hit (Out-of-Scope),Partial
how much electricity did our SC1 site use in 2024?,0,German Language - Mixed Content,2025-10-10T17:32:01.201040,Language Barrier + Mixed Scope,Partial
what is the cost per kw in ashburn for colo?,0,German Language - Mixed Content,2025-10-10T14:43:39.491425,Language Barrier + Mixed Scope,Partial
"s this cross connect still active?  A-END	Z-END Mohit Kukunoor	mohit.kukunoor mohit.kukunoor@gtt.net mohit.kukunoor@gtt.net  6462144243	6462144243 2717866	 New York, 60 Hudson	New York, 60 Hudson Single Mode Fiber	Single Mode Fiber 005.10.05.RU03-RU04 ports 59-60	009.14.14.28 ports 91-92",4,Site Discovery & Location Queries,2025-10-10T14:14:45.466829,,Yes
"yes, give me the downloadable file",3,Miscellaneous/Testing,2025-10-10T11:58:24.842127,No-Hit (Out-of-Scope),No
i would like to download the section specific to CCTV/Camera specifications and configurations,3,Miscellaneous/Testing,2025-10-10T11:57:38.256522,No-Hit (Out-of-Scope),No
I would like the latest version of the design and engineering guide,3,Miscellaneous/Testing,2025-10-10T11:56:02.226042,No-Hit (Out-of-Scope),No
share boq for these files,3,Miscellaneous/Testing,2025-10-10T11:15:44.767829,No-Hit (Out-of-Scope),No
I need a BOQ from this excel sheet,3,Miscellaneous/Testing,2025-10-10T11:08:49.754783,No-Hit (Out-of-Scope),No
yes - I have attached the job description,3,Miscellaneous/Testing,2025-10-10T07:55:36.738567,No-Hit (Out-of-Scope),No
Suggest questions for an applicant for the job description I have attached,3,Miscellaneous/Testing,2025-10-10T07:54:49.079586,No-Hit (Out-of-Scope),No
thats not correct,2,Corporate Mixed Queries,2025-10-10T01:43:53.469035,No-Hit (Out-of-Scope),Partial
what could a low underfloor dew point create and/or do?,2,Corporate Mixed Queries,2025-10-10T00:11:20.859332,No-Hit (Out-of-Scope),Partial
"yes, with a phrase that starts with Digital Voces is happy to welcome back",2,Corporate Mixed Queries,2025-10-09T23:17:52.812146,No-Hit (Out-of-Scope),Partial
"BIO: Francesca Chaboya (she/her) has been in the field of higher education for 10 years. Her journey began as an administrator and advisor while pursuing her goal of becoming a college professor. She currently teaches students at Pasadena City College in the History and Ethnic Studies department. Her primarily focus is teaching Mexican American, Mexican, and U.S. History. Outside of the classroom she is a co-organizer for free community events that serve youth, and mutual aid drives to support the unhoused communities of Long Beach and Santa Ana. She remains active in her community, with a goal of advocating for underserved communities and sharing historical context whenever the opportunity comes!",2,Corporate Mixed Queries,2025-10-09T23:16:50.379755,No-Hit (Out-of-Scope),Partial
it's in teh attachment,3,Miscellaneous/Testing,2025-10-09T23:15:30.020417,No-Hit (Out-of-Scope),No
can you please rewrite her bio into a shorter bio for a new event annoucement wlecoming her back,3,Miscellaneous/Testing,2025-10-09T23:15:10.878732,No-Hit (Out-of-Scope),No
please propose a partner to engage for chipotle,2,Corporate Mixed Queries,2025-10-09T17:45:31.162926,No-Hit (Out-of-Scope),Partial
what does high-density interconnect fall under,4,Site Discovery & Location Queries,2025-10-09T10:20:40.092155,,Yes
what type of connectivity is this considered as,4,Site Discovery & Location Queries,2025-10-09T10:20:05.837246,,Yes
what is high-density interconnect,4,Site Discovery & Location Queries,2025-10-09T10:19:18.648889,,Yes
"correct grammar - hi emma, how are you doing?i have recieved the cirtificate on my old surname. would it be possible to get an updated virsion.i used to be alexandra osipova, now i am alexandra bela.and earlier i have asked you to send me the implementation playbook. i really  loved the content of the course.i have already shared with you my address detail, but in case it is lost somewhere here it is.",3,Miscellaneous/Testing,2025-10-09T09:39:52.441687,No-Hit (Out-of-Scope),No
what are on ramps,2,Corporate Mixed Queries,2025-10-09T09:13:22.489327,No-Hit (Out-of-Scope),Partial
review the variances and why the totals are different,3,Miscellaneous/Testing,2025-10-09T00:50:15.835869,No-Hit (Out-of-Scope),No
Can you please review two invoices for variances,3,Miscellaneous/Testing,2025-10-09T00:48:47.348042,No-Hit (Out-of-Scope),No
what percentage of our deals involve liquid cooling,0,German Language - Mixed Content,2025-10-08T21:13:43.788997,Language Barrier + Mixed Scope,Partial
Please confirm the status of CID 01092591- active or disconnected.,4,Site Discovery & Location Queries,2025-10-08T20:44:57.903337,,Yes
"what is remittance for tiktok payment $5,384.61",2,Corporate Mixed Queries,2025-10-08T14:58:41.729177,No-Hit (Out-of-Scope),Partial
I need to know available inventory at our Ashburn Campus,0,German Language - Mixed Content,2025-10-08T13:38:03.151805,Language Barrier + Mixed Scope,Partial
what is a revolving mortgage,2,Corporate Mixed Queries,2025-10-08T08:30:20.215923,No-Hit (Out-of-Scope),Partial
benefits of service fabric,1,Connectivity & Cross-Connects,2025-10-08T05:30:09.266968,,Yes
what is cross connect,4,Site Discovery & Location Queries,2025-10-08T01:09:52.949605,,Yes
"yes, please provide contact details and shipping instructions",3,Miscellaneous/Testing,2025-10-07T20:26:24.343321,No-Hit (Out-of-Scope),No
what does iou stand for?,2,Corporate Mixed Queries,2025-10-07T19:15:43.560633,No-Hit (Out-of-Scope),Partial
"can you provide me the infrastructure summary of sjc29 with this information:•ups: 8000 kw distributed redundant ups system•generator: 5 x 3 mw generators•distribution:40 x dual tap 400v/208v, 400 kva pdu’s equipped with ten (10) 225a output breakers each. pdu output shall be configured to support 208vequipment.•cooling: 35 liebert dse crac units – n+2 •whitespace: 36” raised floor supply plenum, 12’-10” ceiling height, return plenum above ceiling•security:biometric access to whitespace•fire protection: dedicated dual-interlock pre-action sprinkler system•pathway: 6 x 4” conduit to ppop and 6 x 4” conduit to spop",0,German Language - Mixed Content,2025-10-07T18:42:25.097499,Language Barrier + Mixed Scope,Partial
"They have permanent badges, what’s the timeframe for those?",2,Corporate Mixed Queries,2025-10-07T17:39:41.228027,No-Hit (Out-of-Scope),Partial
Can the customer upgrade the visitor to a permanent badge?,2,Corporate Mixed Queries,2025-10-07T17:28:45.408544,No-Hit (Out-of-Scope),Partial
Thank you.,2,Corporate Mixed Queries,2025-10-07T17:26:33.894399,No-Hit (Out-of-Scope),Partial
Extended visitor badges can be set up for 3o days maximum.    Any flexibility?,2,Corporate Mixed Queries,2025-10-07T17:25:29.777535,No-Hit (Out-of-Scope),Partial
"what can a customer mean by this message:"" hi rasmus,it looks like it needs to be rolled, as there is no light received on port 53. it may not link up however, pending work by arelion.thanks!"" what i've done for them is put in a qsfp and patched it up.",4,Site Discovery & Location Queries,2025-10-07T17:06:29.223305,,Yes
howdy! do you have access to jira?,3,Miscellaneous/Testing,2025-10-07T14:47:43.788622,No-Hit (Out-of-Scope),No
create a picture of a happy team,2,Corporate Mixed Queries,2025-10-07T13:29:52.903906,No-Hit (Out-of-Scope),Partial
write a birthday message,2,Corporate Mixed Queries,2025-10-07T13:29:32.969642,No-Hit (Out-of-Scope),Partial
optimize work out for a beginner that is to only lose 4lbs per month,2,Corporate Mixed Queries,2025-10-07T12:22:03.584735,No-Hit (Out-of-Scope),Partial
i'd like to know more about basepod and superpod,2,Corporate Mixed Queries,2025-10-07T11:41:02.688691,No-Hit (Out-of-Scope),Partial
did you learn anything new since we spoke last time or your db is still from aug 6th?,2,Corporate Mixed Queries,2025-10-07T11:37:23.281223,No-Hit (Out-of-Scope),Partial
